message_body,content_offset_seconds,message_user_color,commenter_display_name,message_fragments
selphyHi,15.689,#008000,reptileGEDO,"[{""text"": ""selphyHi"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""1790515""}}]"
HeyGuys,15.725,,potarohat,"[{""text"": ""HeyGuys"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""30259""}}]"
tyler1Hey,15.834,#FF69B4,ryodali1,"[{""text"": ""tyler1Hey"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""106169""}}]"
PogYou,15.919,#FF0000,GGGodar,"[{""text"": ""PogYou""}]"
woah is this tyler from the future!?,16.063,#00FF7F,Supportarino,"[{""text"": ""woah is this tyler from the future!?""}]"
tyler1R1 tyler1R2,16.12,,Niviere,"[{""text"": ""tyler1R1"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""140809""}}, {""text"": "" ""}, {""text"": ""tyler1R2"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""140810""}}]"
IM SO HAPPY,16.154,#F6FF00,CYBERBOOLI_xD,"[{""text"": ""IM SO HAPPY""}]"
peepoLeave stream over,16.165,#DAA520,lolazuren,"[{""text"": ""peepoLeave stream over""}]"
we back,17.344,,stebbings99,"[{""text"": ""we back""}]"
Yes,17.492,,kazmall,"[{""text"": ""Yes""}]"
´pogyou,17.513,,tfleo,"[{""text"": ""\u00b4pogyou""}]"
PowerUpL OhMyDog PowerUpR,17.8,,36eagles,"[{""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}]"
NO,17.93,#00FF7F,Kawre,"[{""text"": ""NO""}]"
@loltyler1 yo what up good games bro,17.961,#FF0000,bisgetti,"[{""text"": ""@loltyler1 yo what up good games bro""}]"
WeirdChamp LATE,17.991,,jakjakfan,"[{""text"": ""WeirdChamp LATE""}]"
PogU,18.017,,terebes07501,"[{""text"": ""PogU""}]"
