message_body,content_offset_seconds,message_user_color,commenter_display_name,message_fragments
THEY DONT GIVE A SHIT,39.94,,Unexcused,"[{""text"": ""THEY DONT GIVE A SHIT""}]"
the cannel is not dead PogU,40.061,#11CA1A,caioaraujo0087,"[{""text"": ""the cannel is not dead PogU""}]"
LULW,40.104,#F700B6,beepyy_,"[{""text"": ""LULW""}]"
KEKW,40.117,#008000,alonetimeispeacemind,"[{""text"": ""KEKW""}]"
tyler1KKona tyler1KKona tyler1KKona tyler1KKona tyler1KKona tyler1KKona tyler1KKona,40.157,,xxXKINGNANOXxx,"[{""text"": ""tyler1KKona"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""121816""}}, {""text"": "" ""}, {""text"": ""tyler1KKona"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""121816""}}, {""text"": "" ""}, {""text"": ""tyler1KKona"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""121816""}}, {""text"": "" ""}, {""text"": ""tyler1KKona"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""121816""}}, {""text"": "" ""}, {""text"": ""tyler1KKona"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""121816""}}, {""text"": "" ""}, {""text"": ""tyler1KKona"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""121816""}}, {""text"": "" ""}, {""text"": ""tyler1KKona"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""121816""}}]"
KappaPride,40.159,#FF69B4,1__CS__Per__Minute,"[{""text"": ""KappaPride"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""55338""}}]"
NPC'S,41.36,#0000FF,delshad,"[{""text"": ""NPC'S""}]"
PepeHands,41.42,#FFB61D,MrSumo,"[{""text"": ""PepeHands""}]"
rippppp,41.547,,ninjamasius1,"[{""text"": ""rippppp""}]"
KEKW,41.688,#02FFDF,Alvarorodriguez2323,"[{""text"": ""KEKW""}]"
KEKW,41.706,,yogadinger,"[{""text"": ""KEKW""}]"
hahahahahha,41.952,,kostas96666,"[{""text"": ""hahahahahha""}]"
MaN,41.994,#103BC0,xFreki__,"[{""text"": ""MaN""}]"
